Question,Answers,Comment,Instructions,Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuSO4+PH3->,Cu3P2+H2SO4,HSAB. PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH3+Cl2->,PCl3+HCl,"PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here. (This is only for PH3, once PCl3 is formed its just Pd+ - Cld-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3+Ca(OCl)Cl->,CaCl2+N2+H2O,Bleaching action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assymetric Nitrogen Oxides,N2O3(blue) N2O,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2H4+2CuSO4->,Cu+N2+H2SO4,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4->N2+[H]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2H4+Zn+HCl->,ZnCl2+NH3,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4+[H]->NH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PtF6+O2->,O2[PtF6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe+F2 ratios,"2:1, 1:5, 1:20",,Comma Seperate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+H2O(limited)->,XeOF4+XeO2F2+HF,It cant be controlled if XeOF4 is formed or XeO2F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+SiO2->,XeOF4+XeO2F2+XeO3+SiF4,It cant be controlled if XeOF4 is formed or XeO2F2 or even XeO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF6+NaF->,Na[XeF7],Happens only with Group I Flourides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF4+SbF5->,[XeF3][SbF6],"F is a bridging ligand here, Xe if a flourinating agent and SbF5 is a deficient (neither octet, nor octahedral) flourides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
