Question,Answers,Comment,Instructions,Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XeF4+SbF5->,[XeF3][SbF6],"F is a bridging ligand here, Xe if a flourinating agent and SbF5 is a deficient (neither octet, nor octahedral) flourides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3+NaOCl(1:1)->,NH2Cl+NaOH,"Cl+ displaces H+; if not 1:1 N2H4, N2, NH4Cl and several others maybe formed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4Cl+NaNH2->,NH3+NaCl,Neutralization but in Ammonical medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba(NO3)2+AgCl->,no rxn,AgCl isnt even soluble to participate in displacement. Sometime HSAB doesnt give a clear side of product similar to this reaction. In aqueous medium it is driven by precipiation of AgCl and AgCl side is prefered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba(NO3)2+AgCl->(in NH3),BaCl2(ppt)+AgNO3,Sometime HSAB doesnt give a clear side of product similar to this reaction. In ammonical medium it is driven by precipiation of BaCl2 and AgNO3 is exceptionally soluble by [Ag(NH3)2]. Most Chlorides precipitate in NH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnCl2+NH4OH(excess)->,[Zn(NH3)4]Cl2+H2O,Zn(OH)2 precipitate dissolves due to complexation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(NH2)2+KNH2->,K2[Zn(NH2)4],Amphoteric Zinc. NH2- is ditto as OH-.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Preparation of N2,NH4Cl+NaNO2->N2+NaCl+H2O,Effectively same as pyrolysis of NH4NO2 but using heat from the double displacement reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be+Air->,no rxn,"Protective later coating will basically happen for most covalent ones and prepicipitates (PbSO4, AgCl, BeO, ZnO(Zn(OH)2)...) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of BeF2(anhydrous),BeO+NH3+HF->(NH4)2[BeF4]->BeF2,,Ignore byproducts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be+H2->,no rxn,"Like H2O, its not reactice to BeH2 either. BeH2 is made using LiAlH4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2+O2 (extreme T)->,NO,"Similar to CO's stability at high T, NO gains too",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea+H2O->,(NH4)2CO3,Acyl sub -> H2CO3 + 2NH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCl3+NH3->,P(NH2)3+NH4Cl,"Suprising P-3 character was only for phosphine, PCl3 is just as expected. NH3 is doing solvolysis just like H2O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNO3+P4O10->,H4P4O12+N2O5,"In emperical form it looks like the centres just swapped: HNO3+P2O5->HPO3+N2O5. Unlike hydrolysis, not all anhydride links are broken. Anhydride links are broken until there's no 3 membered cycles left. OH is taken from acyl sub of NO3- on NO2(OH).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostwald's Process,NH3+O2+Pt->NO+H2O,effectively H-exchange driven by Pt between N and O. Used in prep of HNO3,Include (Major) Catalyst as if it was a reagant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3- Confirmatory,NO3+H2SO4(conc)+FeSO4->[Fe(H2O)5NO]SO4(brown ring),"This is a reaction with metal because Fe is oxidized, but concentration of H2SO4 is to initiate the reaction and once into the test tube, its not really concentrated anymore (NO formed)",Ignore byproducts for this reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNO2+FeSO4+H2SO4(conc)->,Na2SO4+Fe2(SO4)3+NO2+SO2+H2O,NO2 doesnt need conc. H2SO4 since HNO2 will become HNO3+NO+O2 on its own. NO is further oxidized in conc H2SO4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNO2+FeSO4+H2SO4->,Na2SO4+Fe2(SO4)3+[Fe(H2O)5NO]SO4(brown ring)+H2O,Doesnt need conc. H2SO4 since HNO2 will become HNO3+NO+O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2S+HNO3->,S8(ppt)+NO2+H2O+NaNO3,"S-- becomes S8 with mild oxidizer, SO4 with strong oxidizer and S2O3 when *it is* the reducer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2S+HNO3(conc)->,Na2SO4+NO2+H2O,Product of reduced half is different only with metals. Conc. HNO3 is actually a strong oxidizer and will oxidize S-- straight to SO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu+HNO3->,Cu(NO3)2+NO+H2O,"Dilute and concentrated give different products only in reaction with metals. With dilute, there's lesser NO3 than metal, so each NO3 go to NO. This is only with metals because the reduced metal would displace another HNO3 and give enough H+ for this reaction to proceed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+HNO3(conc)->,AgNO3+NO2+H2O,"Ag is not exactly displacing H here. It is less reactive than H, but the anion is oxidizing and oxidizes Ag. Dilute and concentrated give different products only in reaction with metals. With concentrated, its the usual reaction (NO2).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn+HNO3->,Zn(NO3)2+N2O+H2O,"Why would Zn reduce H2 if it can easily reduce HNO3. With strongly reducing metals, N2O maybe formed for dilute following the same logic as HNO3->NO.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4+SOCl2->,PCl3+PCl5+SO2+S2Cl2,Either S2Cl2 and PCl3 formed or PCl5. Cant control which of the two happens in a mixture,All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byproduct of SN2 of ROH using PCl3,H3PO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byproduct of SN2 of RCOOH using PCl5,H3PO4+HCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byproduct of SN2 of ROH using PCl5,POCl3+HCl,Esterification happens beyond this at the phosphonyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCl5(s) - True Form,[PCl4][PCl6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaphosphoric acid from Phosphorus acid,H3PO3+Br2->HBr+(HPO3)n,This weak oxidizer will oxidize H3PO3 like how it oxidizes carbonyl. Addition of Br+ and H2PO3- -> Elimination of HBr -> Repeat,Don't notate heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphinic acid,H3PO2,Another name for hypophosphorous acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphonic acid,H3PO3,Another name for phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypophosphoric acid,H4P2O6,"Hypo shouldve been 2 ox states lesser than phosphoric acid, but chemists do not like homogenous naming smh. This doesn't have an anhydride link as seen by symmetry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNO3+H3PO2+H2O->,Ag+H3PO4+HNO3,"Can be seen like Tollen test for phosphonyl, but the reaction is driven stronger by H3PO2's reducing nature than Ag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2Cl2+H2O->,SO2+S8(ppt)+HCl,S2Cl2 readily disproportionates into SCl4 and S. The reaction is really hydrolysis of SCl4 not hydrolysis of S2Cl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4O6+HCl->,H3PO3+PCl3,"Unlike reaction with Water, HCl wont allow identical treatment of all P. So PCl3 like PH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2SO3+▲->,Na2S+Na2SO4,"Not at ortho form and thus disproportionates. In salt form, it doesnt escape as S8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of SO3,SO2+O2+V2O5->SO3,V2O5 is amphoteric. It serves both the purpose of a lewis base to stabilize SO3 and also a surface for reaction (similar to other transition metal catalysts),Include catalyst as if it was a reagant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCl+O2+CuCl2->,Cl2+H2O,"This is the Deacan process. CuCl2 is just a catalyst here, it has no HSAB possibility nor redox possibility to proceed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidic oxides of 3d-series,CrO3 Mn2O7(dark green) MnO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KI(excess)+O3+H2O->,I2+O2+KOH,Excess is to say that it isnt oxidized to IO3-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2 (Magnetic nature),Paramagnetic,Analogous to O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of SulfurylChloride,SO2+Cl2+C->SO2Cl2,,Include catalyst as if it was a reagant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Process,FeS+O2->SO2+O2+V2O5->SO3+H2SO4->H2S2O7+H2O->H2SO4,,Ignore byproducts. Add reagants in consecutive steps right away. Add catalyst like its a reagant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least stable haloxides are made by,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Regia - Formation,HCl+HNO3->NOCl+Cl2+H2O,High H from HCl is forcing NO2 to break into H2O+nitrosyl,Drop (conc) because the need to be concentrated obviously,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Regia + Pt->,NOCl+Cl2+HCl+Pt->H2[PtCl6]+NO,NOCl+Pt->NO+PCl4; Cl2+Pt->PtCl4; and some HCl unreacted originally,Ignore colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interhalogen Compounds with I-centre,ICl IBr ICl3 IF3 IF5 IF7,"Except that IF is unstable, Uniform pattern of 2F exclusive high ones, one F-Cl, one F-Br... and uniform increase with change in centre.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interhalogen Compounds with Br-centre,BrF BrCl BrF3 BrF5,"Uniform pattern of 2F exclusive high ones, one F-Cl, one F-Br... and uniform increase with change in centre",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interhalogen Compounds with Cl-centre,ClF ClF3,"Uniform pattern of 2F exclusive high ones, one F-Cl, one F-Br... and uniform increase with change in centre",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxyacids of I and Br,HOX HXO3 HXO4,HMO2 doesnt exist,use X for the halogen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxyacids of F,HOF,F can make only 1 bond,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KClO3+▲->,KCl+O2,Pyrolysis is driven by gas-ing. KCl is more stable than K2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(ClO3)2+▲->,ZnO+Cl2+O2,Exceptional because ZnO precipitates and supports pyrolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Reaction in Chloralkali,NaOH+Cl2->NaOCl+NaCl+H2O,This is why Diaphragm and Amalgam methods were designed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castner Kellner Process,NaCl(conc)+H2O->NaOH+Cl2+H2,Dilute NaCl will not cause overpotential and O2 will be produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NaOH(cold,dil)+Cl2",NaOCl+H2O+NaCl,Side reaction in Chloralkali and Chlorate processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NaOH(hot,conc)+Cl2",NaClO3+H2O+NaCl,"This react + Chloralkali is combined as electrolysis of NaCl(hot,conc) and is known as Chlorate process. ClO3 is stable at high T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation of NaClO4,NaClO3+H2O->NaClO4+H2,"Electrolysis, O2 at anode is recieved by ClO3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOCl+▲->,HCl+HClO3,Acids will disproportionate to ortho and mineral form. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HClO3+▲->,HClO4+ClO2+H2O,"Cl2O5+H2O. This is already at ortho ox state, this reaction is more similar to HNO2->HNO3+NO+H2O and is driven by ClO2 release than disproportionation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KClO3->,KClO4+KCl,"Since ClO4- much stabler, ClO4 acts like the ortho form in salt form instead of ClO3-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HClO2(conc)->,ClO2+HCl+H2O,"Concentrated oxoacids of Halogens readily decompose,Cl2+O2 if not ClO2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCl+HCN(excess)->,H[Ag(CN)2]+HCl,"Just like S2O3, NH3, SCN... AgCl dissolves here by complexation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group II ppts that dissolve in Yellow Ammonium Sulphide,SnS(brown) SnS2(yellow),All the amphoteric ones basically,"Include Tin precipitates, Tin isnt there in qualitative an. syllabus but is studied in block chemistry",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbCl2+H3PO4,HCl+Pb3(PO4)2(ppt),"Pb follows colours same as Ag's compounds except PO4, Chromate and Oxide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbSO4+CH3COONH4->,(NH4)2[Pb(CH3COO)4]+(NH4)2SO4,Displacement followed by complexation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNO3+▲->,AgNO2+O2,Surprisingly AgNO2 is stable even upto 400*C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuSO4+NH4OH-> (Colour Change),blue -> Deep Blue,"Due to complexation of Cu. Zn, Cu and Ag readily complex with NH3 and give colourless, deep blue and colourless-soluble complexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HgCrO4(colour),Red,Red of Hg overpowers Yellow of CrO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group II Sulphides insoluble in conc.HCl,CuS(black) HgS(red),Less reactive than H and not displaced (HSAB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group II Sulphides insoluble in conc.HNO3,HgS(red),"HgSO4.HgO - yellow ppt, PbSO4 is a ppt too, but Pb can displace H and so Pb(NO3)2 formed. Similarly for other sulphate ppts (and only for sulphates that ppt, otherwise SO4 is formed) too, S8 precipitates",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu(II) Confirmatory,"Cu+K4[Fe(CN)6]->Cu2[Fe(CN)6](ppt,chocolate brown)",Ferrocyanide is used generally,Use Cu instead of Cu++. Ignore Byproducts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl3+K3[Fe(CN)6]->,KCl+Fe[Fe(CN)6](brown),This is NOT prussian blue/turnbull blue. Both the Fe are at +3 here and for prussian and turnbull they need to be either,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuSO4+KSCN,K2[Cu(SCN)4]+K2SO4,"Complexation, Fe(SCN)3 was a complexation too except one of the 3 SCN was inside coordination sphere (similar to brown ring). Cu seems to prefer coord. no. of 4 unlike iron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl3+K4[Fe(CN)6](excess)->,KFe[Fe(CN)4](soluble prussian blue)+KCl,True structure of Prussian Blue was Fe[FeFe(CN)6]3 and soluble prussian blue is when theres so much prusside ions that Fe doesnt have to enter coordination sphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main reagant in Lake Test,Litmus,Litmus is adsorbed on Al(OH)3 by surface complexation giving the precipitate colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuS+H2SO4(conc)->,no rxn,"SO4 cant oxidize S, they are extremum of the same element",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnCl2+K4[Fe(CN)6]->,"KCl+Zn2[Fe(CN)6](ppt,bluish white)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn(OH)2+Air->,H2MnO3(brown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(CH3COO)2Ca+K2CrO4->,no rxn,"By HSAB, Calcium Chromate ppt is not formed. This is why CH3COOH is poured before doing test for Barium. (CH3COOH is already at acid and no oxidized)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca(COO)2+CH3COOH->,no rxn,"Unlike Ba, CaC2O4 is insoluble and confirms that its Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
