Question,Answers,Comment,Instructions,Mode
"Pepsin, Diastase, Maltase","Protein->Amino Acids, Starch->Maltose, Maltose->Glucose",,Enzymatic Action. Format: Reactant->Product (Without space in between t->P),5
Action of Enzyme produced by Yeast,Zymase+Glucose->C2H5OH+CO2,,"Use common names in reactants side, Add enzyme like a reactant",
"Invertase,Urease","Sucrose,Urea","Urea-ase, Invertase is because of inversion of optical rotation from sucrose to glucose+fructose from +ve to -ve (ie Fructose's activity overpowers)",Enzyme and Substrate,5
"Nylon-x,y",x,Not x-2. **N**ylon and N containing monomer comes first,No. of Carbons in diammine monomer,3
Monomers of Synthetic Rubbers,"Butadiene+Acrylonitrile, Chloroprene",Vinyl and Acrylic are the same things. Chloroprene is butadiene but with a Cl at 2nd carbon,Use + for same polymer's monomers,2
"Dry Lubricant, Water Pipes, Sportwear, Tyre Stitches, Conveyor belts, Oil Seals","Teflon, PVC, Nylon-66, Nylon-6, Neoprene, Buna-N",,"Choose from Teflon, PVC, Nylon-66, Nylon-6, Neoprene, Buna-N and from Dry Lubricant, Water Pipes, Sportwear, Tyre Stitches, Conveyor belts, Oil Seals",5
"Foodwear, Raincoats, Fishing Nets, Ropes, Hoses, Tank linings","Teflon, PVC, Nylon-66, Nylon-6, Neoprene, Buna-N",,"Choose from Teflon, PVC, Nylon-66, Nylon-6, Neoprene, Buna-N and from Foodwear, Raincoats, Fishing Nets, Ropes, Hoses, Tank linings",5
Sucrose,C2-b-D-Fructose + C1-a-D-Glucose,Both the carbonyls are involved. ,Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose,
Maltose,C1-a-D-Glucose + C4-a-D-Glucose,"Beta is more stable, but alpha is more easily produced. Until a pathway is given for glucose to mutarotate, alpha will stay alpha",Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose,
Lactose,C1-b-D-Glucose + C4-b-D-Glucose,"Lactose is just maltose on beta Glucose.Beta is more stable, but alpha is more easily produced. Until a pathway is given for glucose to mutarotate, alpha will stay alpha. In Lactose this pathway is enable because of the medium (Milk).",Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose,
Amylose,C1-a-D-Glucose + C4-a-D-Glucose,Polymeric version of Maltose. Solubility comes from how CH2OH group is not hindered for H-bonding unlike the other 4.,Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose (+ C#-a/b-D/L-Someotherose),
Cellulose,C1-b-D-Glucose + C4-b-D-Glucose,"Polymeric Version of Lactose. Similar to lactose, Cellulose is given the pathway to become beta, this is wantedly done to keep the cell wall the most stable one. Insoluble in Water because unlike Amylose, C6 is equitorial for beta and hindered",Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose,
Amylopectin,C1-a-D-Glucose + C4-a-D-Glucose + C6-a-D-Glucose,Amylose but branching using C1-C6 too. Not soluble since the C6 (CH2OH) group is bonded now.,Format: C#-a/b-D/L-Someose + C#-a/b-D/L-Someotherose (+ C#-a/b-D/L-Someotherose),
"Solubility, Helix/Sheet, Protein Code, Tangling with other proteins/Peptization","3, 2, 1, 4","Solubility depends on Globular or Fiberous - 3* is the structure of vanderwaals interaction between several strands. alpha Helix or beta Sheet is decided by Hydrogen bonding (and sometimes other chemical bonding like -S-). 4* is just physical arrangement, nothing chemical.",Match the Characteristic with degree of structure for Proteins (use just numbers),3
"Amylose, Cellulose, Glycogen, Keratin, Myosin, Insulin, Albumin","Yes, No, No, No,No,Yes,Yes",Glylcogen is similar to Amylopectin. Beta structure in Cellulose won't allow free OH *sticking out* of the polymeric fibres. Keratin and Myosin are fibrous (Tertiary Structure). Insuline and Albumin are Globular,Solubility: Yes/No,3
Glycylalanine,(NH2CH2CONH2)(CH3)CHCOOH,Order of naming for Proteins is opposite of Nylon. COOH's side comes first here,Structural formula without - or spaces,
Hot Saturated Solution of Glucose ->,b-D-Glucose,,,
,,,,
,Indefinite Integrals,,,
,,,,
Integral secx dx = ,ln|secx + tanx|,All secx and tanx results translate to secx -> cosecx and tanx -> -cotx,,
Substitution for an integral in sqrt(a-x) uses the idea that,sqrt(1-cos2x)=sqrt(2)sinx,Resort to standard subsitutions only if brainy integration fails.,,
Substitutions for integral with both sqrt(a-x) and sqrt(x-b) uses the idea that,sqrt(a-acos^2x+bsin^2x)=sqrt(a+b)sinx,Similar tanx and secx relation can also be used for sqrt(x-a) and sqrt(x-b) if subbing sqrt(x-a) itself fails. Resort to standard subsitutions only if brainy integration fails.,,
Substitution for Integral with (x-a)^n and (x-b)^m uses the idea that:,(b-a)/(x-b)=(x-a)/(x-b)-1,Same for integrals of form ((x-a)/(x-b))^n. Resort to standard subsitutions only if brainy integration fails.,,
Quick manipulation to use result of integral 1/sqrt(x^2+a^2) to solve integral sqrt(x^2-a^2) is by using,Integration By Parts,I = xsqrt(x^2-a^2) - I - integral 1/sqrt(x^2-a^2). and we know that this integral and integral 1/sqrt(x^2+a^2) differ only by sign of a^2 (x is secant and tan is sqrt(x^2+a^2)). Resort to standard subsitutions only if brainy integration fails.,,
Most Important Strategies in Integration,"Splitting Numerator, Moving x powers",into denom+denom'+c or 1-x^2 + 1+x^2 or Partial fractions or (x^2-kx+1)(x^2+kx+1) or radical + radical' + c. Moving powers between num/denom or between roots and outside.Resort to standard subsitutions only if brainy integration fails.,Comma Seperate,2
Coefficiant in integral 1/(x^2+a^2),1/a,Resort to standard subsitutions only if brainy integration fails.,,
Coefficient in integral 1/sqrt(x^2+a^2),1,"When denom is a sqrt, a from d(af(x)) and denominator cancel out. Resort to standard subsitutions only if brainy integration fails.",,
Integral with sin and cos in even powers convert into,"tanx, secx",Resort to standard subsitutions only if brainy integration fails.,Comma seperate,2
"Integral with tan and sec, all substitutions fail then do",Integration By Parts,Resort to standard subsitutions only if brainy integration fails.,,
Integrals with 2x angles and x mixed use the idea that:,cos2x=(cosx+sinx)(cosx-sinx),Resort to standard subsitutions only if brainy integration fails.,,
Substitution for integral 1/((linear)^m.sqrt(quadratic)),1/(linear),Resort to standard subsitutions only if brainy integration fails.,,
Substitution for integral 1/((px^2+q).sqrt(ax^2+b)) is t=,sqrt(a+b/x^2),Resort to standard subsitutions only if brainy integration fails.,,
"If Integral is a function of x and a quadratic, Substitution uses the idea that:",log(x+sqrt(quadratic))' = 1/sqrt(quadratic),Resort to standard subsitutions only if brainy integration fails.,,
"B(n,m) integrand is:",x^(n-1)(1-x)^(m-1),,,
Gamma integration limits is:,0 to infinity,,,
Gamma(n) integrand is:,x^(n-1)e^(-x),,,
"B(n,m) in terms of Gamma()",Gamma(n)Gamma(m)/Gamma(m+n),,,
Gamma(n),(n-1)!,,,
Gamma(1/2),sqrt(pi),,,
,,,,
,Conic Sections,,,
,,,,
"In an ellipse, if N is x intersept of normal: NF1/NF2=",PF1/PF2,Because its angle bisector / Reflection, ,
Confocal Conics,Orthogonal,,,
Bisector of side containing Origin,l1=l2,l1 and l2 are such that constant terms are positive,"l1 = ax+by+c; l2 = px + qy + r; r,c>0",
Angle Bisectors of a pair of SL: ax^2+2hxy+by^2,(x^2-y^2)/(a-b)=xy/h,NOT xy/2h.,,
HGO Ratio,2:1,,,
HNO Ratio,1:1,,,
h^2<ab then the Conic is a,Ellipse,"Because for hyperbola, slope of asymptotes must have real solution",,
First row in discriminant determinant for Pair of SL ax^2 + by^2 + 2hxy + 2gx + 2fy + c = 0,"a, h, g",,comma seperate,3
Orthogonal Circles,gg+ff=(c+c)/2,,"g for g of both, f for f of both, c for c of both",
Focal chord divided by focus into PF and QF then:,1/PF+1/QF=2/f,f is the focal length of latus rectum,,
"For all conics, Tangent Segment until Directrix",Subtends Right angle at Focus,,,
Product of Perpendiculars to a tangent from focii = ,b^2,Can be quickly verified using tangent at semiminor axis,,
Radius of Auxiliary Circle of Hyperbola and Line from abscissa of a point make a ____ angle,right,,,
"For Ellipse and Hyperbola, Focal Tangents intersect at ____ angle",not right,Plot Twist,,
"For Ellipse and Hyperbola, Tangents at right angle intersect at",Director Circle,Equivalent to Directrix of Parabola,,
Slope form Normal Equation for Hyperbola,y=mx+m(a^2+b^2)/sqrt(a^2-m^2b^2),"For ellipse, it can be gotten by putting tantheta = mb/a and thus sintheta. Hyperbola will just be ellipse with an inverted b^2.",Use + instead of + or -,
Product of Perpendicular Distances to Asymptotes from a point,1/(1/a^2+1/b^2),"Can be checked using (a,0)",,
Perpendiculat to Tangent from a Focus lies on (For Parabola),Vertex Tangent,,,
Parametric point of tangent for Parabola,"(att, a(t+t))",Plug Joaschmithal substitution. This is also used in focal chord att = -a,Use t for both,
Quickest way to find Circumcentre of a triangle formed within a circle,Euler Line,For 3D,,
"Normals intersect at parabola, then",tt=2,Quickly derive k = -(t+2/t) and then put condition that k should be same even if the other point is plugged in,Use t for both,
"Length of Subtangent, Length of Subnormal of a parabola","2x, 2a",Subtangent -at^2.,,
"Relation between SP, ST, SN and coordinates of P",SP=ST=SN=x+a,x+a = ST is trivial from length of subtangent,N and T are entersection of Normal and Tangent at axis,
Normal intersects parabola again,t=-(t+2/t),,Use t for both,
Semi Latus Rectum (Ellipse and Hyperbola),b^2/a^2,,,
Finding parameters of a general conic uses the idea that:,X=(ax+by+c)/sqrt(a^2+b^2),,,
Slopes of Principal Axes of a general Conic other than parabola is same as Slops of Principal Axes of:,ax^2+by^2+2hxy,It follows that discriminant of this decides if given conic is Ellipse or Hyperbola,,
,,,,
,General Mathematics,,,
,,,,
cot(a+b+c+.....) = ,(S1-S3...)/(1-S2...),"Maybe surprising, but same as tan. ",Use Si for cot (not tan),
secx + tanx =,tan(pi/4+x/2),,,
sin(a+b+c+...)=,Pi(cosA)(S1-S3...),Si are for tan here. Hence cos can also be found,,
sum sin(AP),(sin((n+1)d/2)/sin(d/2))sin(AM),sin((n+1)d/2)/sin(d/2) is almost like a Sum of GP term but with a 1/2. The other term is almost like Arithmetic Mean term of sum of AP.,,
Skewed Lines are ________ and don't intersect,non-parallel,,,
"A&B are mutually independent, then P(A|B)=",P(A),,,
"(h,k,o) is Reflection of (x,y,z) about ax+by+cz-d. h=",x-2a(ax+by+cz-d)/(a^2+b^2+c^2),,,
Ptolemy Theorem,AC.BD=AB.CD+AD.BC,,use . instead of *,
,,,,
,Organic Chemistry,,,
,,,,
"Victor Meyer 2-OH, 1-OH","Blue, Red",,,3
Victor Meyer test's N-based ions involved:,"NO2, NO",,Yeet Charge,
"FeCl3 + Alcohol, FeCl3 + AcOH, FeCl3+ Larger COOH, FeCl3+Resourcinol, FeCl3+Catechol, FeCl3+Beta-OH-Naphthol","no rxn, Violet Soln, Brown ppt, Violet Soln, Green Soln, No Colour","Normally all AcOH are Violet only, Catechol alone Green in FeCl3, and Resourcinol alone Green in pthalic anhydride test",Comma seperate observations (use soln and ppt instead of Solution and Precipitate),3
Cyclocompounds naming exception precedence order:,Chain Length > FG,,Format: Something > Something else (with spaces in b/w),
Melting/Boiling point precedence order for Covalent Compounds (Desc.),"Type of Interaction, Molar Mass, Branching, Additional Factor","Additional factor for Boiling is dipole moment, Melting is compactness of lattice. For t-butyl v other butanes alone, the addition factor comes further up. Para and Trans are more compact because they fit like a thread of fibre or something into lattice. Further, lattice energy majorly depends on compactness, more than surface area. Melting point isn't directly = lattice E trends, Melting point is affected by covalency and surface area trends while lattice energy isn't",Comma Seperate,3
Acidity order (Desc.),"HI, H2SO4, HX, RSO3H, H3O, RCOOH, H2CO3, ArEH, RNH3, H2O, ROH, NH3, H2, yne, RCHO",Aromatic OH with 1 or more NO2 like deactivation will come higher than HCO3. Aliphatic with 3 beta Hyperconj. or 2 NO2 will also come above HCO3. Amides won't dissolve in HCl unlike Amines. Litmus Roughly lies at H2CO3's position too,Include conjugate acids of bases but don't notate charges. Position of HNO3 is disputed thus don't include it. Use E for O/N. Assume conjugate acid of Hydride is H2,3
Electronic Effects: Substituents order (Assuming M effect is operative unlike COOH groups),"-N, -O, -NC=O, -OC=O, 3*, -ph, -allyl, -R, -H, -X, -C=O, 3 beta, -N+, -NO2","Allyl activates ring too. 3 beta can be considered pure I, -N+ is pure I",Use * for degree.,3
Bredt Rule is that no cation of = at ________,Bridgehead,,,3
Electronic Effects: Effects order,"M, Steric, I",Steric factors include inhibition of resonance and ortho effect. Ortho effect for conjugate of NH2 is known of Steric inhibition of protonation.,,3
Nucleophilicity order in Aprotic solvents,"F, Cl, Br, I",Reversed because smaller ones arent solvated anymore.,,3
SOCl2 with py,SN2,not SNi anymore. py will take the Cl from -OSOCl and now -SO2 leaves with sub from the other side (Almost like OTs),,
Lindlar's Catalyst,Pd+Pb(OAc)2+Quinoline,,,
"= + Hg(OAc)/NaBH4, yne + Na/NH3","neither, anti",the H- step in oxymerc demerc destroys selectivity. Na/NH3 is anti because of radicals repelling each other,Syn/Anti,3
Reducing Metal + C=O ->,C(-)-O(-),This can further react or get clemenson reduced if highly acidic medium,The intermediate. Include charges in brackets.,
Side Products in Kolbe Electrolysis of RCH2COOH,RCH2OCOCH2R+RCH3+R=CH2,,,
"Diene addition, Pinacol Rearrangment, EAS (SO3H or NO2), Aldol Condensation","T, K, T, K",,Major product at room T: K / T,3
Rearrangements in pinacol-like reactions:,"Ring Contraction, H, ph, 3*, 2*, 1*",Contraction is specific to pinacol-like while all the rest hold's for other reactions ,,3
"Conjugated Addition: R-, RNH2, ROH","Carbonyl, Ene, Carbonyl",The line in organic is drawn between O and N unlike inorganic where NH3 was still pretty hard. HSAB C=O is a hard centre.,Carbonyl/Ene,3
Electromeric activation order of -X in aromatic,"F, Cl, Br, I","Reverse as that expected, because F- has 2pi-2pi which becomes more deciding than the I- gradients in aromatic case alone. And anything >= F wont give friedelcraft's anymore",,3
B2H6 won't reduce,Amines,Lewis Acid,,
Side reactions in Clemenson are:,"SN with Cl, NO2->NH3, ArSO3H->ArH, Acid Base",NH3 here is conjugate acid of NH2,,3
"Na, RaNi, O3, K2Cr2O7/high T, Cl2+Heat","Yes,No,Yes,Yes, Yes",Na and K2Cr2O7 will end up in quinol and quinol without =O. With Cl2 all 6 are subbed,Benzene reactions: Yes/No,3
RCN+ 1. R- -> 2. H2O,R2CNH,"Only monosub because unlike COOH, CN cant gemdiol eliminate and so more than 1 charge will have to reside on N. For orgo's purposes this isnt possible.",,
Cannizaro Majorly less steric is,Oxidized,H- transfer is the rds. This is decided more by the initial condition. Less steric aldehydes have more hydrate percentage.,,
Basicity order of Me subbed Amines in (aq),"2*, 3*, 1*",,,3
Basicity order of Et subbed Amines in (aq),"2*, 1*, 3*",,,3
RCONHR + NaOH + Br2,no rxn,Acid base (Inorganic) is always faster than other organic reactions. Bromamide doesnt proceed by carbonyl attack but acid base at amide and that needs 1* Amine. ,,
Nitrosyl test,"Yellow Oil, Clear Solution, Dark Green",,"Comma seperate observations for 2*, 3* Ali and 3* Ar",3
Hinsberg Test,"ppt dissolves in OH, ppt, no rxn dissolves in H",,"Comma seperate observations for 2*, 3* Ali and 3* Ar",3
"Poly EAS: Mild Activated + HNO3, Mild Activated + Br2/H2O, Strong Activated + HNO3, Strong Activated + Br2/H2O","3,1,3,3",,No. of subs,3
Carbocation Rearrangements:,"4,3,5,2",,"Arrange descending order of: 3* product, 2* product, 5* ring relief and 4* relief using the numbers associated",3
Terminal Alkyne ppt colours with Tollen and Fehling,"White, Red",,,3
ROH is protected by using,Isobutylene,Add ROH similar to addition of H2O,,
HI-lysis of ether both halves are subbed with I if reaction mixture is,hot,,,
To oxidize alcohol to ketone major reagants are,"DMSO, PCC",,,2
E2 for 1* only if,Steric Base,,,
SN1 for 2* only with,"HX, ZnCl2/HCl",,,2
SN2 for 3* only with,"PX3, PX5, SOCl2/py",,,2
Confirmation for presence of both S and N in an organic molecule,NaSCN+FeCl3->Fe(SCN)3(blood red)+NaCl,,,
Confirmation for presence of P in an organic molecule,"R+Na2O2+HNO3+(NH4)2MoO4->(NH4)3PO4.12MoO3(ppt, yellow)","P is first oxidized, then boiled with HNO3 because Na is a harder cation than NH4 and then tested","Ignore byproducts, assume R is the organic molecule",
Suffix Priority Order (Desc.),"oic acid, sulphonic acid, amide, nitrile, al, one, ol, amine",,Comma seperate,3
"C=O as prefix, Carbaldehyde as prefix","oxo, formyl",,,3
Naming Precedence Order,"FG, ene+yne, len, ene, loc(FG), loc(ene+yne),loc(ene), sub, loc(sub)","""sub"" means that chain has max no. of substituents, meaning minimum branching. Non-suffix FG are considered sub everywhere","Comma seperate. Use FG, len, ene, yne, loc(something) for lowest locant, sub for substituent",3
"Discriminatory steps for Tests: Pthalic Anhydride Test, Schiff's Test, Fehling's Test, Tollen-Br2/H2O Tests","EAS, RSO3H Adduct, Enol Radical, Electrophilic Addition",RSO3H is too bulky unlike NaSO3H and only aldehydes give Schiff,,
Formic Acid + Cu(II) [OH]->,"Cu2O(ppt, red)+CO2+H2O","Fehling test, but enol radical here will be a Double bond over the second O and then it fragments",,
,,,,
,Coordination Compounds,,,
,,,,
d orbitals in dsp2 (Asc),"dyz=dzx,dxy,dz^2",,"Comma seperate, use Equal sign for degenerate, don't use ""_"" for subscripting",3
"Splitting: [NiF6]--, [CoF6]---, [Fe(NH3)6]++, [Fe(NH3)6]+++, [Co(NH3)6]++, [Co(ox)3]---","Strong, Weak, Weak, Strong, Strong, Strong","Ni(IV) is always strong, Co(III) always strong except F-, NH3 is strong for 3+ and weak for 2+, NH3 is strong with Co always. ",strong/weak,3
Stability of Complex Precedense,"EAN, Ligand, q/r^2, Chelation",Precedence order is rough and a big factor can overpower another,"Comma seperate, Descending",3
[Fe(CN)(CO)(H2O)(NH3)(H)(NO)] IUPAC Name,AmmineAquaCarbonylCyanoHydridoNitrosylIron(III),,IUPAC Name,
K2[CuCl4],Potassium TetraChloridoCuprate(II),"In anionic alone latin name-ate comes. Chlorido, not Chloro",IUPAC Name,
"en, gly, acac, dmg","AA, AB, AA, AB, AA",acac is conjugared to become AA altho AB without conjugation,Ligand type,3
"dien, trien, dipy, py, acac, EDTA, gly","3,4,2,3,2,6,2",,Denticity,3
"acac, dmg, gly, EDTA, en","1,1,1,4,0",,Ligand Charges,3
"[Cr(CN)4]--, [Ni(NH3)x], [Ag(NH3)4]NO3, [Co(NH3)4]Cl2, H[AuCl4]","sp3, sp3d2, dsp2, dsp2, dsp2","Assymetric dz^2 forms Square Planar always. Strong splitting Cr wont allow for assymetric eg Ni typically gives square planar with strong split, tetrahedral with weak split and octahedral with solvents (NH3 and H2O). d9 always show the eg assymetry. Ag generally likes 2 coordination only, this is just a rare case. NH3 exceptionally strong always for Co and this makes this another assymetric eg. Pt,Pd,Au which are d8 coinage metals are not really assymetric eg but give square planar always. Au(III) likes 4 coordination more than 2 unlike Au(I)",dsp2/sp3/sp3d2,3
,,,,
,Physical Chemistry & Physics,,,
,,,,
Coefficient in Emperical formula for nucleic radius,1.2,,"2sf, in fermimeter",3
1 esu,3.33e-10,"in kq^2/r^2 in cgs-esu units, k=1","Scientific notation using e, Represent 3 sf",3
1 Ci,3.7e+10,,"Scientific notation using e, Represent 2 sf",3
G*=,k/G,,In terms of k and G,3
µ0,4pie-7,,"Scientific notation using e, Use pi for pi",3
k(electric prop. constant),9e+9,,,
STP Temperature and Pressure,273 100000,,"Space seperate, Enter as Integers",1
R∞,1.097e+7,,"Scientific notation using e, Represent 4 sf",3
R (in Latm/Kmol),0.0821,,,3
R (in cal/K),2,, ,3
Coefficient of ln term in nernst equation,-0.059,negative sign signifies that Ecell decreases as reaction progresses,,3
G,6.67e-11,,"Scientific notation using e, Represent 3 sf",3
Bohr Radius,52.9,,Express in picometres upto 3 sf,3
1 Gauss,1e-4,,Scientific notation using e,3
σ ,5.67e-8,,Scientific notation using e upto 3sf,3
Bohr energy is proportional to (in terms of Z and n),Z^2/n^2,,An Expression,
Spin multiplicity (s=total spin),2s+1,,,
1 Debye,1e-10,,Scientific notation using e,3
First 5 Emission Series,"Lyman, Balmer, Paschen, Bracket, Pfund",,Comma Seperate,3
Light Bands in increasing order of Energy,"Radio,TV,Micro,IR,Visible,UV,X,y,Cosmic",,"Use y instead of gamma, X instead of X rays. Comma seperate.",3
Boyle,PV,,Expression for the invariant,
Charles,V/T,,Expression for the invariant,
Gay Lussac,P/T,,Expression for the invariant,
Avagadro Law,V/n,,Expression for the invariant,
"Coefficients within Sqrt for Vmost prob, Vmean, Vrms","2,8/pi,3",,Assume Monoatomic. Comma Seperate,3
Boyle Temperature,a/Rb,Just dimensional analyse,,
Vapour Density (in chemistry),M/2,Sadists dont wanna go with m/V but wanna go with (m)/(m)of Hydrogen in same conditions, ,
Vcritical,3nb,, ,3
Pcritical,a/(27b^2),"an^2/V^2; V=3nb, but then it should have a 27. So a/27b^2", ,
Zcritical,3/8,, ,3
"Purity, Strength, molality, Volume Strength, %Oleum, Hardness of Water","m/m, m/V, n/M, V/V, m/m, m/m",Volume Strength = Vol of O2/Vol of H2O2; %Oleum = mass after H2O/mass before; Hardness = mass of CaCO3 that would precipitate if both Mg and Ca were Ca/mass of water (same as volume because density = 1) in ppm,"V-Volume of Solution or Solute, m-Mass of solution or solute or whatever mass appears, M-Mass of solvent, n-mols of solute or solution",3
Magnetic nature of the product of pyrolysis of Boron:,Paramagnetic,MOT has pi below for smaller atoms. Crossing happens at no of e > 14,,
G definition (Equation),G=H-TS,dG = dH - SdT - TdS not only TdS,,
Most Ionic Equi formulas are quickly derivable except for Hydrolysis of salt of weak Acid and weak Base. \n pH = ,(Pkw+Pka-Pkb)/2,,Type without spaces in between. ,3
Sound Equation,Px=rhoytt=Byxx,,"Type without Spaces. Use ""rho"" for density, Subscript notation for partial derivatives but dont notate ""_""",
Height of HCP Lattice,4sqrt(2)a/sqrt(3),Twice the height of base tetrahedron. 2r=sqrt(2)a and h = 2(2a/sqrt(3)),,
___mm of Hg = 1 atm,760,,,3
Ideal Gas behavious,"High T, Low P",High V essentially except Molar Volume becomes a dependent variable in most contexts. (P+an^2/V^2) NOT V^2/n^2,,2
Work is ,Frame Dependent,,,
Cells in Parallel,e=sum(e/r)/sum(1/r),,,
1 Poise,0.1,,In SI units,
SI Unit of Magnetic Flux,Weber(Wb),,,
Reflection from Denser to Rarer,No flip,,Phase Flip/No Flip,
Solubility in Solids ______ with temperature,increases,,,
Chemical Equivalents units,g/C,,,
Gauge Pressure,P-Patm,,,
"Fundamental forms of: C, Br, I, S","C(graphite),Br2(l),I2(s), S8(alpha-rhombic)",alpha-rhombic is yellow in colour and have spikey structure,,3
